ma_khach_hang,ma_san_pham,ten_san_pham,diem_trung_binh,Rating
38,222600006,Gel Tẩy Tế Bào Chết Bio-essence Dưỡng Da Tươi Trẻ 60g,5.0,5.08388090133667
38,418800002,Serum 9Wishes Dưỡng Ẩm & Làm Căng Bóng Da 25ml,4.9,5.03528356552124
39,422209042,Gel Rửa Mặt Swiss Image Cho Da Hỗn Hợp Và Dầu Mụn 200ml,5.0,4.029006481170654
39,222600006,Gel Tẩy Tế Bào Chết Bio-essence Dưỡng Da Tươi Trẻ 60g,5.0,4.067103862762451
39,418800004,"Serum 9Wishes Dưỡng Sáng Da, Giảm Thâm 25ml",4.9,4.086836338043213
39,422216596,Combo 2 Serum Vichy Giải Cứu Làn Da Tức Thì 10ml,5.0,4.112216949462891
39,418800002,Serum 9Wishes Dưỡng Ẩm & Làm Căng Bóng Da 25ml,4.9,4.028227806091309
40,222600006,Gel Tẩy Tế Bào Chết Bio-essence Dưỡng Da Tươi Trẻ 60g,5.0,4.28380012512207
40,422209046,Nước Hoa Hồng Swiss Image Cho Da Hỗn Hợp Và Da Dầu 200ml,5.0,4.297614097595215
40,204100082,Gel Rửa Mặt Eucerin Làm Sạch Dịu Nhẹ Da Nhạy Cảm 200ml,5.0,4.432189464569092
40,251900024,"Mặt Nạ Rainbow L'Affair Cấp Ẩm, Ngừa Lão Hóa Da 25ml",5.0,4.312181949615479
40,422203645,Combo Simple Chăm Sóc Cho Da Sạch Khỏe Đàn Hồi 3 Món,4.9,4.281168937683105
41,422216596,Combo 2 Serum Vichy Giải Cứu Làn Da Tức Thì 10ml,5.0,4.112216949462891
41,422209042,Gel Rửa Mặt Swiss Image Cho Da Hỗn Hợp Và Dầu Mụn 200ml,5.0,4.029006481170654
41,418800004,"Serum 9Wishes Dưỡng Sáng Da, Giảm Thâm 25ml",4.9,4.086836338043213
41,222600006,Gel Tẩy Tế Bào Chết Bio-essence Dưỡng Da Tươi Trẻ 60g,5.0,4.067103862762451
41,418800002,Serum 9Wishes Dưỡng Ẩm & Làm Căng Bóng Da 25ml,4.9,4.028227806091309
42,422209042,Gel Rửa Mặt Swiss Image Cho Da Hỗn Hợp Và Dầu Mụn 200ml,5.0,5.036257266998291
42,418800002,Serum 9Wishes Dưỡng Ẩm & Làm Căng Bóng Da 25ml,4.9,5.03528356552124
42,222600006,Gel Tẩy Tế Bào Chết Bio-essence Dưỡng Da Tươi Trẻ 60g,5.0,5.08388090133667
42,418800004,"Serum 9Wishes Dưỡng Sáng Da, Giảm Thâm 25ml",4.9,5.108542442321777
42,422216596,Combo 2 Serum Vichy Giải Cứu Làn Da Tức Thì 10ml,5.0,5.140273094177246
43,422220466,Combo 2 Nước Tẩy Trang Neutrogena Thanh Lọc Và Làm Sạch Sâu 400ml,4.8,4.711163997650146
43,422216596,Combo 2 Serum Vichy Giải Cứu Làn Da Tức Thì 10ml,5.0,4.68492317199707
43,422216896,Combo 2 Mặt Nạ innisfree Chăm Sóc Lỗ Chân Lông 100ml,5.0,4.777974128723145
43,318900012,Nước Hoa Hồng Klairs Không Mùi Cho Da Nhạy Cảm 180ml,4.8,4.731148242950439
43,318900011,Nước Hoa Hồng Klairs Dành Cho Da Nhạy Cảm 180ml,4.8,4.776070117950439
44,422209042,Gel Rửa Mặt Swiss Image Cho Da Hỗn Hợp Và Dầu Mụn 200ml,5.0,5.036257266998291
44,418800004,"Serum 9Wishes Dưỡng Sáng Da, Giảm Thâm 25ml",4.9,5.108542442321777
44,418800002,Serum 9Wishes Dưỡng Ẩm & Làm Căng Bóng Da 25ml,4.9,5.03528356552124
44,422216596,Combo 2 Serum Vichy Giải Cứu Làn Da Tức Thì 10ml,5.0,5.140273094177246
44,222600006,Gel Tẩy Tế Bào Chết Bio-essence Dưỡng Da Tươi Trẻ 60g,5.0,5.08388090133667
45,222600006,Gel Tẩy Tế Bào Chết Bio-essence Dưỡng Da Tươi Trẻ 60g,5.0,5.089878559112549
45,422216596,Combo 2 Serum Vichy Giải Cứu Làn Da Tức Thì 10ml,5.0,5.149338722229004
45,418800004,"Serum 9Wishes Dưỡng Sáng Da, Giảm Thâm 25ml",4.9,5.119442939758301
45,422209042,Gel Rửa Mặt Swiss Image Cho Da Hỗn Hợp Và Dầu Mụn 200ml,5.0,5.046836376190186
45,418800002,Serum 9Wishes Dưỡng Ẩm & Làm Căng Bóng Da 25ml,4.9,5.049080848693848
46,200400004,Nước Tẩy Trang Bioderma Dành Cho Da Dầu & Hỗn Hợp 500ml,4.9,4.819225311279297
46,100230056,Nước Tẩy Trang Bioderma Dành Cho Da Nhạy Cảm 100ml,4.9,4.815534591674805
46,100230057,Nước Tẩy Trang Bioderma Dành Cho Da Nhạy Cảm 250ml,4.9,4.809625625610352
46,100230059,Nước Tẩy Trang Bioderma Dành Cho Da Dầu & Hỗn Hợp 100ml,4.9,4.802109241485596
46,100230064,Nước Tẩy Trang Bioderma Dành Cho Da Dầu & Hỗn Hợp 250ml,4.9,4.815153121948242
47,422216596,Combo 2 Serum Vichy Giải Cứu Làn Da Tức Thì 10ml,5.0,5.264979839324951
47,222600006,Gel Tẩy Tế Bào Chết Bio-essence Dưỡng Da Tươi Trẻ 60g,5.0,5.227766036987305
47,418800004,"Serum 9Wishes Dưỡng Sáng Da, Giảm Thâm 25ml",4.9,5.21877384185791
47,422209042,Gel Rửa Mặt Swiss Image Cho Da Hỗn Hợp Và Dầu Mụn 200ml,5.0,5.184862613677979
47,248700054,Gel Chấm Mụn Naris Cosmetics Acne Grand 20g,4.9,5.170480251312256
48,204100082,Gel Rửa Mặt Eucerin Làm Sạch Dịu Nhẹ Da Nhạy Cảm 200ml,5.0,5.686311721801758
